[81/720] dj_10_fake_fez seed=1 n*=200  (0.2s, ~2 min left)
[82/720] dj_10_fake_fez seed=2 n*=100  (0.2s, ~2 min left)
[83/720] dj_10_fake_fez seed=3 n*=100  (0.3s, ~2 min left)
[84/720] dj_10_fake_fez seed=4 n*=100  (0.3s, ~2 min left)
[85/720] dj_10_fake_fez seed=5 n*=100  (0.3s, ~2 min left)
[86/720] dj_10_fake_fez seed=6 n*=100  (0.3s, ~2 min left)
[87/720] dj_10_fake_fez seed=7 n*=100  (0.2s, ~2 min left)
[88/720] dj_10_fake_fez seed=8 n*=100  (0.3s, ~2 min left)
[89/720] dj_10_fake_fez seed=9 n*=100  (0.3s, ~2 min left)
[90/720] dj_10_fake_fez seed=10 n*=150  (0.3s, ~2 min left)
[91/720] dj_10_fake_fez seed=11 n*=100  (0.3s, ~2 min left)
[92/720] dj_10_fake_fez seed=12 n*=150  (0.2s, ~2 min left)
[93/720] dj_10_fake_fez seed=13 n*=100  (0.3s, ~2 min left)
[94/720] dj_10_fake_fez seed=14 n*=100  (0.2s, ~2 min left)
[95/720] dj_10_fake_fez seed=15 n*=100  (0.3s, ~2 min left)
[96/720] dj_10_fake_fez seed=16 n*=100  (0.3s, ~2 min left)
[97/720] dj_10_fake_fez seed=17 n*=50  (0.3s, ~2 min left)
[98/720] dj_10_fake_fez seed=18 n*=200  (0.3s, ~2 min left)
[99/720] dj_10_fake_fez seed=19 n*=50  (0.3s, ~2 min left)
[100/720] dj_10_fake_fez seed=20 n*=100  (0.3s, ~2 min left)
[101/720] dj_10_fake_torino seed=1 n*=500  (0.3s, ~2 min left)
[102/720] dj_10_fake_torino seed=2 n*=300  (0.3s, ~2 min left)
[103/720] dj_10_fake_torino seed=3 n*=300  (0.3s, ~2 min left)
[104/720] dj_10_fake_torino seed=4 n*=350  (0.3s, ~2 min left)
[105/720] dj_10_fake_torino seed=5 n*=350  (0.3s, ~2 min left)
[106/720] dj_10_fake_torino seed=6 n*=300  (0.3s, ~2 min left)
[107/720] dj_10_fake_torino seed=7 n*=400  (0.3s, ~2 min left)
[108/720] dj_10_fake_torino seed=8 n*=200  (0.3s, ~2 min left)
[109/720] dj_10_fake_torino seed=9 n*=450  (0.3s, ~2 min left)
[110/720] dj_10_fake_torino seed=10 n*=250  (0.3s, ~2 min left)
[111/720] dj_10_fake_torino seed=11 n*=200  (0.3s, ~2 min left)
[112/720] dj_10_fake_torino seed=12 n*=200  (0.3s, ~2 min left)
[113/720] dj_10_fake_torino seed=13 n*=350  (0.3s, ~2 min left)
[114/720] dj_10_fake_torino seed=14 n*=250  (0.3s, ~2 min left)
[115/720] dj_10_fake_torino seed=15 n*=200  (0.3s, ~2 min left)
[116/720] dj_10_fake_torino seed=16 n*=350  (0.3s, ~2 min left)
[117/720] dj_10_fake_torino seed=17 n*=500  (0.3s, ~2 min left)
[118/720] dj_10_fake_torino seed=18 n*=250  (0.3s, ~2 min left)
[119/720] dj_10_fake_torino seed=19 n*=250  (0.3s, ~2 min left)
[120/720] dj_10_fake_torino seed=20 n*=300  (0.3s, ~2 min left)
[121/720] dj_14_fake_fez seed=1 n*=350  (0.3s, ~2 min left)
[122/720] dj_14_fake_fez seed=2 n*=300  (0.3s, ~2 min left)
[123/720] dj_14_fake_fez seed=3 n*=350  (0.3s, ~2 min left)
[124/720] dj_14_fake_fez seed=4 n*=250  (0.3s, ~2 min left)
[125/720] dj_14_fake_fez seed=5 n*=350  (0.3s, ~2 min left)
