algorithm,size,backend,seed,n_star
qaoa,4,fake_sherbrooke,13,150
qaoa,4,fake_sherbrooke,14,100
qaoa,4,fake_sherbrooke,15,100
qaoa,4,fake_sherbrooke,16,200
qaoa,4,fake_sherbrooke,17,100
qaoa,4,fake_sherbrooke,18,150
qaoa,4,fake_sherbrooke,19,100
qaoa,4,fake_sherbrooke,20,150
qaoa,6,fake_marrakesh,1,800
qaoa,6,fake_marrakesh,2,650
qaoa,6,fake_marrakesh,3,550
qaoa,6,fake_marrakesh,4,450
qaoa,6,fake_marrakesh,5,350
qaoa,6,fake_marrakesh,6,500
qaoa,6,fake_marrakesh,7,450
qaoa,6,fake_marrakesh,8,550
qaoa,6,fake_marrakesh,9,350
qaoa,6,fake_marrakesh,10,550
qaoa,6,fake_marrakesh,11,550
qaoa,6,fake_marrakesh,12,350
qaoa,6,fake_marrakesh,13,550
qaoa,6,fake_marrakesh,14,500
qaoa,6,fake_marrakesh,15,350
qaoa,6,fake_marrakesh,16,750
qaoa,6,fake_marrakesh,17,500
qaoa,6,fake_marrakesh,18,600
qaoa,6,fake_marrakesh,19,500
qaoa,6,fake_marrakesh,20,500
qaoa,8,fake_kyiv,1,1800
qaoa,8,fake_kyiv,2,2150
qaoa,8,fake_kyiv,3,1400
qaoa,8,fake_kyiv,4,2900
qaoa,8,fake_kyiv,5,2250
qaoa,8,fake_kyiv,6,1950
qaoa,8,fake_kyiv,7,1900
qaoa,8,fake_kyiv,8,2450
qaoa,8,fake_kyiv,9,2000
qaoa,8,fake_kyiv,10,1750
qaoa,8,fake_kyiv,11,2400
qaoa,8,fake_kyiv,12,2050
qaoa,8,fake_kyiv,13,1850
qaoa,8,fake_kyiv,14,2000
qaoa,8,fake_kyiv,15,1950
qaoa,8,fake_kyiv,16,2000
qaoa,8,fake_kyiv,17,1800
qaoa,8,fake_kyiv,18,1900
qaoa,8,fake_kyiv,19,1550
qaoa,8,fake_kyiv,20,1900
qaoa,8,fake_sherbrooke,1,2150
qaoa,8,fake_sherbrooke,2,2550
qaoa,8,fake_sherbrooke,3,1500
qaoa,8,fake_sherbrooke,4,2050
qaoa,8,fake_sherbrooke,5,2500
qaoa,8,fake_sherbrooke,6,1950
qaoa,8,fake_sherbrooke,7,1800
qaoa,8,fake_sherbrooke,8,1800
qaoa,8,fake_sherbrooke,9,1750
qaoa,8,fake_sherbrooke,10,1750
qaoa,8,fake_sherbrooke,11,2000
qaoa,8,fake_sherbrooke,12,1900
qaoa,8,fake_sherbrooke,13,2100
qaoa,8,fake_sherbrooke,14,2050
qaoa,8,fake_sherbrooke,15,1750
qaoa,8,fake_sherbrooke,16,2200
qaoa,8,fake_sherbrooke,17,1700
qaoa,8,fake_sherbrooke,18,1850
qaoa,8,fake_sherbrooke,19,1300
qaoa,8,fake_sherbrooke,20,2050
qaoa,10,fake_sherbrooke,1,6450
qaoa,10,fake_sherbrooke,2,6300
qaoa,10,fake_sherbrooke,3,6700
qaoa,10,fake_sherbrooke,4,6300
qaoa,10,fake_sherbrooke,5,5600
qaoa,10,fake_sherbrooke,6,6750
qaoa,10,fake_sherbrooke,7,5700
qaoa,10,fake_sherbrooke,8,6900
qaoa,10,fake_sherbrooke,9,5650
qaoa,10,fake_sherbrooke,10,6000
qaoa,10,fake_sherbrooke,11,6150
qaoa,10,fake_sherbrooke,12,6600
qaoa,10,fake_sherbrooke,13,6300
qaoa,10,fake_sherbrooke,14,5600
qaoa,10,fake_sherbrooke,15,6350
qaoa,10,fake_sherbrooke,16,5700
qaoa,10,fake_sherbrooke,17,6050
qaoa,10,fake_sherbrooke,18,6450
qaoa,10,fake_sherbrooke,19,6700
qaoa,10,fake_sherbrooke,20,6000
qaoa,12,fake_marrakesh,1,6950
qaoa,12,fake_marrakesh,2,6600
qaoa,12,fake_marrakesh,3,7150
qaoa,12,fake_marrakesh,4,6950
qaoa,12,fake_marrakesh,5,7050
qaoa,12,fake_marrakesh,6,7100
qaoa,12,fake_marrakesh,7,6600
qaoa,12,fake_marrakesh,8,7150
qaoa,12,fake_marrakesh,9,6100
qaoa,12,fake_marrakesh,10,7000
qaoa,12,fake_marrakesh,11,6700
qaoa,12,fake_marrakesh,12,7100
qaoa,12,fake_marrakesh,13,7000
qaoa,12,fake_marrakesh,14,6500
qaoa,12,fake_marrakesh,15,6700
qaoa,12,fake_marrakesh,16,6350
qaoa,12,fake_marrakesh,17,6650
qaoa,12,fake_marrakesh,18,6900
qaoa,12,fake_marrakesh,19,7000
qaoa,12,fake_marrakesh,20,6550
qaoa,14,fake_kyiv,1,12450
qaoa,14,fake_kyiv,2,12700
qaoa,14,fake_kyiv,3,12250
qaoa,14,fake_kyiv,4,12400
qaoa,14,fake_kyiv,5,12700
qaoa,14,fake_kyiv,6,12700
qaoa,14,fake_kyiv,7,12000
qaoa,14,fake_kyiv,8,12300
qaoa,14,fake_kyiv,9,13100
qaoa,14,fake_kyiv,10,13100
qaoa,14,fake_kyiv,11,12200
qaoa,14,fake_kyiv,12,12800
qaoa,14,fake_kyiv,13,12650
qaoa,14,fake_kyiv,14,12250
qaoa,14,fake_kyiv,15,12600
qaoa,14,fake_kyiv,16,12650
qaoa,14,fake_kyiv,17,12150
qaoa,14,fake_kyiv,18,12500
qaoa,14,fake_kyiv,19,13050
qaoa,14,fake_kyiv,20,11900
qaoa,14,fake_sherbrooke,1,13600
qaoa,14,fake_sherbrooke,2,13600
qaoa,14,fake_sherbrooke,3,13400
qaoa,14,fake_sherbrooke,4,13400
qaoa,14,fake_sherbrooke,5,13450
qaoa,14,fake_sherbrooke,6,13700
qaoa,14,fake_sherbrooke,7,13100
qaoa,14,fake_sherbrooke,8,13400
qaoa,14,fake_sherbrooke,9,14050
qaoa,14,fake_sherbrooke,10,13900
qaoa,14,fake_sherbrooke,11,13450
qaoa,14,fake_sherbrooke,12,13300
qaoa,14,fake_sherbrooke,13,14200
qaoa,14,fake_sherbrooke,14,13200
qaoa,14,fake_sherbrooke,15,13650
qaoa,14,fake_sherbrooke,16,14150
qaoa,14,fake_sherbrooke,17,12950
qaoa,14,fake_sherbrooke,18,13250
qaoa,14,fake_sherbrooke,19,14250
qaoa,14,fake_sherbrooke,20,13100
qft,6,fake_fez,1,1050
qft,6,fake_fez,2,850
qft,6,fake_fez,3,1000
qft,6,fake_fez,4,700
qft,6,fake_fez,5,1100
qft,6,fake_fez,6,950
qft,6,fake_fez,7,900
qft,6,fake_fez,8,900
qft,6,fake_fez,9,1000
qft,6,fake_fez,10,900
qft,6,fake_fez,11,700
qft,6,fake_fez,12,850
qft,6,fake_fez,13,1150
qft,6,fake_fez,14,700
qft,6,fake_fez,15,1150
qft,6,fake_fez,16,1050
qft,6,fake_fez,17,1000
qft,6,fake_fez,18,1100
qft,6,fake_fez,19,750
qft,6,fake_fez,20,1000
qft,6,fake_torino,1,1100
qft,6,fake_torino,2,1100
qft,6,fake_torino,3,1000
qft,6,fake_torino,4,1450
qft,6,fake_torino,5,950
qft,6,fake_torino,6,1350
qft,6,fake_torino,7,800
qft,6,fake_torino,8,700
qft,6,fake_torino,9,1150
qft,6,fake_torino,10,1050
qft,6,fake_torino,11,550
qft,6,fake_torino,12,1050
qft,6,fake_torino,13,1050
qft,6,fake_torino,14,850
qft,6,fake_torino,15,1300
qft,6,fake_torino,16,1050
qft,6,fake_torino,17,1100
qft,6,fake_torino,18,950
qft,6,fake_torino,19,1050
qft,6,fake_torino,20,1050
qft,8,fake_fez,1,3450
qft,8,fake_fez,2,3650
qft,8,fake_fez,3,3150
qft,8,fake_fez,4,3550
qft,8,fake_fez,5,3100
qft,8,fake_fez,6,3000
qft,8,fake_fez,7,3200
qft,8,fake_fez,8,3550
qft,8,fake_fez,9,3450
qft,8,fake_fez,10,3600
qft,8,fake_fez,11,3100
qft,8,fake_fez,12,3400
qft,8,fake_fez,13,3550
qft,8,fake_fez,14,3300
qft,8,fake_fez,15,3800
qft,8,fake_fez,16,3400
qft,8,fake_fez,17,3200
qft,8,fake_fez,18,3500
qft,8,fake_fez,19,3000
qft,8,fake_fez,20,3500
qft,8,fake_torino,1,3350
qft,8,fake_torino,2,4150
qft,8,fake_torino,3,3050
qft,8,fake_torino,4,3850
qft,8,fake_torino,5,3400
qft,8,fake_torino,6,3000
qft,8,fake_torino,7,3450
qft,8,fake_torino,8,3350
qft,8,fake_torino,9,3000
qft,8,fake_torino,10,3150
qft,8,fake_torino,11,3850
qft,8,fake_torino,12,3850
qft,8,fake_torino,13,3800
qft,8,fake_torino,14,3400
qft,8,fake_torino,15,3500
qft,8,fake_torino,16,3450
qft,8,fake_torino,17,3400
qft,8,fake_torino,18,4000
qft,8,fake_torino,19,3350
qft,8,fake_torino,20,3800
qft,12,fake_fez,1,14900
qft,12,fake_fez,2,14950
qft,12,fake_fez,3,15100
qft,12,fake_fez,4,15200
qft,12,fake_fez,5,14900
qft,12,fake_fez,6,15200
qft,12,fake_fez,7,14900
qft,12,fake_fez,8,14850
qft,12,fake_fez,9,15100
qft,12,fake_fez,10,15150
qft,12,fake_fez,11,14900
qft,12,fake_fez,12,15150
qft,12,fake_fez,13,15350
qft,12,fake_fez,14,14800
qft,12,fake_fez,15,15150
qft,12,fake_fez,16,15350
qft,12,fake_fez,17,15100
qft,12,fake_fez,18,14800
qft,12,fake_fez,19,15350
qft,12,fake_fez,20,14550
qft,12,fake_torino,1,14850
qft,12,fake_torino,2,14900
qft,12,fake_torino,3,15100
qft,12,fake_torino,4,15200
qft,12,fake_torino,5,14800
qft,12,fake_torino,6,15150
qft,12,fake_torino,7,14800
qft,12,fake_torino,8,15000
qft,12,fake_torino,9,15100
qft,12,fake_torino,10,15400
qft,12,fake_torino,11,15150
qft,12,fake_torino,12,15050
qft,12,fake_torino,13,15500
qft,12,fake_torino,14,14850
qft,12,fake_torino,15,15200
qft,12,fake_torino,16,15500
qft,12,fake_torino,17,15000
qft,12,fake_torino,18,14650
qft,12,fake_torino,19,15450
qft,12,fake_torino,20,15000
qft,14,fake_fez,1,17400
qft,14,fake_fez,2,17300
qft,14,fake_fez,3,17200
qft,14,fake_fez,4,17300
qft,14,fake_fez,5,17500
qft,14,fake_fez,6,17250
qft,14,fake_fez,7,17350
qft,14,fake_fez,8,17350
qft,14,fake_fez,9,17450
qft,14,fake_fez,10,17500
qft,14,fake_fez,11,17350
qft,14,fake_fez,12,17250
qft,14,fake_fez,13,17350
qft,14,fake_fez,14,17550
qft,14,fake_fez,15,17350
qft,14,fake_fez,16,17200
qft,14,fake_fez,17,17500
qft,14,fake_fez,18,17450
qft,14,fake_fez,19,17450
qft,14,fake_fez,20,17250
qft,14,fake_torino,1,17400
qft,14,fake_torino,2,17250
qft,14,fake_torino,3,17200
qft,14,fake_torino,4,17250
qft,14,fake_torino,5,17500
qft,14,fake_torino,6,17250
qft,14,fake_torino,7,17350
qft,14,fake_torino,8,17400
qft,14,fake_torino,9,17450
qft,14,fake_torino,10,17500
qft,14,fake_torino,11,17300
qft,14,fake_torino,12,17250
qft,14,fake_torino,13,17350
qft,14,fake_torino,14,17500
qft,14,fake_torino,15,17400
qft,14,fake_torino,16,17250
qft,14,fake_torino,17,17450
qft,14,fake_torino,18,17450
qft,14,fake_torino,19,17450
qft,14,fake_torino,20,17250
qnn,8,fake_fez,1,2950
qnn,8,fake_fez,2,3000
qnn,8,fake_fez,3,2050
qnn,8,fake_fez,4,3450
qnn,8,fake_fez,5,3350
qnn,8,fake_fez,6,2450
qnn,8,fake_fez,7,2850
qnn,8,fake_fez,8,2550
qnn,8,fake_fez,9,3200
qnn,8,fake_fez,10,2700
qnn,8,fake_fez,11,2600
qnn,8,fake_fez,12,3000
qnn,8,fake_fez,13,2750
qnn,8,fake_fez,14,2750
qnn,8,fake_fez,15,2800
qnn,8,fake_fez,16,2000
qnn,8,fake_fez,17,2900
qnn,8,fake_fez,18,2950
qnn,8,fake_fez,19,3100
qnn,8,fake_fez,20,2350
qnn,8,fake_kyiv,1,2850
qnn,8,fake_kyiv,2,3700
qnn,8,fake_kyiv,3,3600
qnn,8,fake_kyiv,4,3450
qnn,8,fake_kyiv,5,3300
qnn,8,fake_kyiv,6,2650
qnn,8,fake_kyiv,7,2900
qnn,8,fake_kyiv,8,3350
qnn,8,fake_kyiv,9,3200
qnn,8,fake_kyiv,10,2950
qnn,8,fake_kyiv,11,2750
qnn,8,fake_kyiv,12,2950
qnn,8,fake_kyiv,13,2800
qnn,8,fake_kyiv,14,3000
qnn,8,fake_kyiv,15,3300
qnn,8,fake_kyiv,16,2600
qnn,8,fake_kyiv,17,2600
qnn,8,fake_kyiv,18,3000
qnn,8,fake_kyiv,19,2950
qnn,8,fake_kyiv,20,3400
qnn,14,fake_fez,1,17250
qnn,14,fake_fez,2,17150
qnn,14,fake_fez,3,17050
qnn,14,fake_fez,4,17150
qnn,14,fake_fez,5,17300
qnn,14,fake_fez,6,17100
qnn,14,fake_fez,7,17150
qnn,14,fake_fez,8,17200
qnn,14,fake_fez,9,17200
qnn,14,fake_fez,10,17350
qnn,14,fake_fez,11,17200
qnn,14,fake_fez,12,17050
qnn,14,fake_fez,13,17150
qnn,14,fake_fez,14,17300
qnn,14,fake_fez,15,17200
qnn,14,fake_fez,16,17100
qnn,14,fake_fez,17,17350
qnn,14,fake_fez,18,17200
qnn,14,fake_fez,19,17250
qnn,14,fake_fez,20,17050
qnn,14,fake_kyiv,1,17350
qnn,14,fake_kyiv,2,17300
qnn,14,fake_kyiv,3,17200
qnn,14,fake_kyiv,4,17200
qnn,14,fake_kyiv,5,17450
qnn,14,fake_kyiv,6,17250
qnn,14,fake_kyiv,7,17300
qnn,14,fake_kyiv,8,17350
qnn,14,fake_kyiv,9,17450
qnn,14,fake_kyiv,10,17500
qnn,14,fake_kyiv,11,17300
qnn,14,fake_kyiv,12,17250
qnn,14,fake_kyiv,13,17300
qnn,14,fake_kyiv,14,17550
qnn,14,fake_kyiv,15,17350
qnn,14,fake_kyiv,16,17250
qnn,14,fake_kyiv,17,17450
qnn,14,fake_kyiv,18,17450
qnn,14,fake_kyiv,19,17450
qnn,14,fake_kyiv,20,17250
random,6,fake_fez,1,1150
random,6,fake_fez,2,850
random,6,fake_fez,3,700
random,6,fake_fez,4,600
random,6,fake_fez,5,1000
random,6,fake_fez,6,700
random,6,fake_fez,7,950
random,6,fake_fez,8,1150
random,6,fake_fez,9,650
random,6,fake_fez,10,650
random,6,fake_fez,11,600
random,6,fake_fez,12,600
random,6,fake_fez,13,750
random,6,fake_fez,14,750
random,6,fake_fez,15,750
random,6,fake_fez,16,750
random,6,fake_fez,17,800
random,6,fake_fez,18,800
random,6,fake_fez,19,800
random,6,fake_fez,20,550
random,8,fake_fez,1,2400
random,8,fake_fez,2,3150
random,8,fake_fez,3,1850
random,8,fake_fez,4,3350
random,8,fake_fez,5,2800
random,8,fake_fez,6,2600
random,8,fake_fez,7,2400
random,8,fake_fez,8,2550
random,8,fake_fez,9,2950
random,8,fake_fez,10,2450
random,8,fake_fez,11,2650
random,8,fake_fez,12,2850
random,8,fake_fez,13,2950
random,8,fake_fez,14,2450
random,8,fake_fez,15,3000
random,8,fake_fez,16,2650
random,8,fake_fez,17,2300
random,8,fake_fez,18,2950
random,8,fake_fez,19,2850
random,8,fake_fez,20,2350
random,12,fake_fez,1,14850
random,12,fake_fez,2,14750
random,12,fake_fez,3,15050
random,12,fake_fez,4,15000
random,12,fake_fez,5,14750
random,12,fake_fez,6,15150
random,12,fake_fez,7,14700
random,12,fake_fez,8,14800
random,12,fake_fez,9,14900
random,12,fake_fez,10,15100
