algorithm,size,backend,oracle_shots,epsilon,batch
ghz,15,aer_simulator,50,0.1,50
ghz,15,fake_fez,600,0.1,50
ghz,15,fake_kyiv,600,0.1,50
ghz,15,fake_marrakesh,250,0.1,50
ghz,15,fake_sherbrooke,500,0.1,50
ghz,15,fake_torino,550,0.1,50
grover-noancilla,4,aer_simulator,50,0.1,50
grover-noancilla,4,fake_fez,300,0.1,50
grover-noancilla,4,fake_kyiv,200,0.1,50
grover-noancilla,4,fake_marrakesh,250,0.1,50
grover-noancilla,4,fake_sherbrooke,150,0.1,50
grover-noancilla,4,fake_torino,200,0.1,50
grover-noancilla,5,aer_simulator,50,0.1,50
grover-noancilla,5,fake_fez,500,0.1,50
grover-noancilla,5,fake_kyiv,450,0.1,50
grover-noancilla,5,fake_marrakesh,300,0.1,50
grover-noancilla,5,fake_sherbrooke,350,0.1,50
grover-noancilla,5,fake_torino,550,0.1,50
grover-noancilla,6,aer_simulator,50,0.1,50
grover-noancilla,6,fake_fez,800,0.1,50
grover-noancilla,6,fake_kyiv,900,0.1,50
grover-noancilla,6,fake_marrakesh,950,0.1,50
grover-noancilla,6,fake_sherbrooke,650,0.1,50
grover-noancilla,6,fake_torino,900,0.1,50
grover-noancilla,7,aer_simulator,50,0.1,50
grover-noancilla,7,fake_fez,1750,0.1,50
grover-noancilla,7,fake_kyiv,2000,0.1,50
grover-noancilla,7,fake_marrakesh,1850,0.1,50
grover-noancilla,7,fake_sherbrooke,2100,0.1,50
grover-noancilla,7,fake_torino,1800,0.1,50
grover-noancilla,8,aer_simulator,50,0.1,50
grover-noancilla,8,fake_fez,3550,0.1,50
grover-noancilla,8,fake_kyiv,3500,0.1,50
grover-noancilla,8,fake_marrakesh,3350,0.1,50
grover-noancilla,8,fake_sherbrooke,3750,0.1,50
grover-noancilla,8,fake_torino,3450,0.1,50
grover-noancilla,9,aer_simulator,50,0.1,50
grover-noancilla,9,fake_fez,5850,0.1,50
grover-noancilla,9,fake_kyiv,6400,0.1,50
grover-noancilla,9,fake_marrakesh,6000,0.1,50
grover-noancilla,9,fake_sherbrooke,5600,0.1,50
grover-noancilla,9,fake_torino,5600,0.1,50
qaoa,4,aer_simulator,100,0.1,50
qaoa,4,fake_fez,50,0.1,50
qaoa,4,fake_kyiv,100,0.1,50
qaoa,4,fake_marrakesh,100,0.1,50
qaoa,4,fake_torino,100,0.1,50
qaoa,5,aer_simulator,200,0.1,50
qaoa,5,fake_fez,250,0.1,50
qaoa,5,fake_kyiv,450,0.1,50
qaoa,5,fake_marrakesh,150,0.1,50
qaoa,5,fake_sherbrooke,500,0.1,50
qaoa,5,fake_torino,300,0.1,50
qaoa,6,aer_simulator,350,0.1,50
qaoa,6,fake_fez,650,0.1,50
qaoa,6,fake_kyiv,600,0.1,50
qaoa,6,fake_sherbrooke,650,0.1,50
qaoa,6,fake_torino,700,0.1,50
qaoa,7,aer_simulator,1000,0.1,50
qaoa,7,fake_fez,1050,0.1,50
qaoa,7,fake_kyiv,1350,0.1,50
qaoa,7,fake_marrakesh,1000,0.1,50
qaoa,7,fake_sherbrooke,1500,0.1,50
qaoa,7,fake_torino,1150,0.1,50
qaoa,8,aer_simulator,1150,0.1,50
qaoa,8,fake_fez,1850,0.1,50
qaoa,8,fake_marrakesh,1400,0.1,50
qaoa,8,fake_torino,1900,0.1,50
qaoa,9,aer_simulator,1100,0.1,50
qaoa,9,fake_fez,3000,0.1,50
qaoa,9,fake_kyiv,3550,0.1,50
qaoa,9,fake_marrakesh,2250,0.1,50
qaoa,9,fake_sherbrooke,3350,0.1,50
qaoa,9,fake_torino,3100,0.1,50
qaoa,10,aer_simulator,2400,0.1,50
qaoa,10,fake_fez,4750,0.1,50
qaoa,10,fake_kyiv,6100,0.1,50
qaoa,10,fake_marrakesh,5100,0.1,50
qaoa,10,fake_torino,5700,0.1,50
qaoa,11,aer_simulator,3600,0.1,50
